S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
indel: indel (> 5bp)
316052	318534	5991	3503	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1616	93.69		True
CONTIG	contig_1616	6123	correct
CONTIG	contig_1617	8271	unaligned
CONTIG	contig_1618	13265	unaligned
CONTIG	contig_1619	55203	unaligned
681738	681836	192082	191984	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_162	95.96		True
unknown
680764	681041	193059	192783	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_162	90.29		True
unknown
CONTIG	contig_162	224048	mis_unaligned
CONTIG	contig_1620	55274	unaligned
CONTIG	contig_1621	39656	unaligned
CONTIG	contig_1622	64522	unaligned
CONTIG	contig_1623	111048	unaligned
CONTIG	contig_1624	8558	unaligned
CONTIG	contig_1625	9211	unaligned
CONTIG	contig_1626	6269	unaligned
CONTIG	contig_1627	7460	unaligned
CONTIG	contig_1628	49418	unaligned
CONTIG	contig_1629	33653	unaligned
CONTIG	contig_163	22897	unaligned
CONTIG	contig_1630	27932	unaligned
CONTIG	contig_1631	75057	unaligned
CONTIG	contig_1632	206243	unaligned
CONTIG	contig_1634	14829	unaligned
CONTIG	contig_1635	10414	unaligned
CONTIG	contig_1637	9133	unaligned
1067282	1068825	225273	226806	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1638	91.68		False
1070717	1072324	228713	230317	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1638	90.67		False
3257197	3258740	226806	225273	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1638	91.74		True
unknown
3253698	3255303	230317	228715	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1638	90.72		True
unknown
3427266	3427994	547113	546384	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1638	90.27		True
unknown
CONTIG	contig_1638	633447	mis_unaligned
CONTIG	contig_1639	34781	unaligned
2894744	2895984	2010	770	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_164	90.41		True
CONTIG	contig_164	151358	correct_unaligned
3256039	3256220	727	906	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1640	91.76		True
unknown
3257197	3258729	1924	3450	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1640	90.21		True
unknown
CONTIG	contig_1640	44340	mis_unaligned
CONTIG	contig_1641	26363	unaligned
CONTIG	contig_1642	13003	unaligned
CONTIG	contig_1643	17567	unaligned
CONTIG	contig_1644	4358	unaligned
CONTIG	contig_1645	7547	unaligned
CONTIG	contig_1646	13383	unaligned
CONTIG	contig_1647	40797	unaligned
CONTIG	contig_1648	63312	unaligned
CONTIG	contig_1649	45099	unaligned
CONTIG	contig_165	15692	unaligned
CONTIG	contig_1650	27418	unaligned
745835	746053	681990	682211	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1653	91.44		True
CONTIG	contig_1653	725105	correct_unaligned
CONTIG	contig_1654	13322	unaligned
CONTIG	contig_1655	12005	unaligned
CONTIG	contig_1656	719818	unaligned
CONTIG	contig_1657	34732	unaligned
CONTIG	contig_1658	28982	unaligned
CONTIG	contig_1659	1355	unaligned
CONTIG	contig_1660	2577	unaligned
CONTIG	contig_1661	19628	unaligned
CONTIG	contig_1662	49092	unaligned
CONTIG	contig_1663	7520	unaligned
CONTIG	contig_1664	9152	unaligned
CONTIG	contig_1665	5815	unaligned
CONTIG	contig_1666	6134	unaligned
CONTIG	contig_1667	7200	unaligned
CONTIG	contig_1668	3960	unaligned
CONTIG	contig_1669	7080	unaligned
408954	409105	69743	69592	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_167	92.76		True
CONTIG	contig_167	112961	correct_unaligned
CONTIG	contig_1670	6342	unaligned
CONTIG	contig_1671	1909	unaligned
CONTIG	contig_1672	15624	unaligned
CONTIG	contig_1674	700	unaligned
CONTIG	contig_1675	30326	unaligned
CONTIG	contig_1678	859	unaligned
CONTIG	contig_1679	4748	unaligned
CONTIG	contig_168	14672	unaligned
CONTIG	contig_1683	565	unaligned
CONTIG	contig_1684	10119	unaligned
CONTIG	contig_1685	8225	unaligned
CONTIG	contig_1686	8405	unaligned
CONTIG	contig_1687	22493	unaligned
CONTIG	contig_1689	9919	unaligned
CONTIG	contig_169	18367	unaligned
CONTIG	contig_1690	11527	unaligned
CONTIG	contig_1691	5864	unaligned
CONTIG	contig_1692	5239	unaligned
CONTIG	contig_1693	46111	unaligned
CONTIG	contig_1694	21881	unaligned
CONTIG	contig_1695	7672	unaligned
4617339	4617488	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
3805204	3805353	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
4175304	4175453	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
5359113	5359262	186	38	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
4707019	4707168	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
4813045	4813194	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
4575964	4576113	38	186	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		False
619448	619597	186	38	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1696	92.0		True
CONTIG	contig_1696	36026	correct_unaligned
CONTIG	contig_1697	120592	unaligned
CONTIG	contig_1698	33047	unaligned
CONTIG	contig_1699	47116	unaligned
CONTIG	contig_17	9015	unaligned
1365490	1365957	10888	10422	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_170	90.17		True
CONTIG	contig_170	244472	correct_unaligned
CONTIG	contig_1700	34370	unaligned
CONTIG	contig_1703	26805	unaligned
CONTIG	contig_1704	6462	unaligned
696587	696879	965031	964739	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1705	91.19		True
CONTIG	contig_1705	1178322	correct_unaligned
CONTIG	contig_1706	18791	unaligned
493	724	157706	157937	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1707	91.88		True
unknown
1139	1221	158354	158436	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1707	97.59		True
unknown
CONTIG	contig_1707	825586	mis_unaligned
CONTIG	contig_1708	6528	unaligned
628698	629930	3185	1951	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1709	91.42		True
CONTIG	contig_1709	7244	correct_unaligned
CONTIG	contig_171	15951	unaligned
631019	631733	7814	7092	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1710	90.04		True
unknown
629931	631018	8932	7840	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1710	90.48		True
unknown
628745	629930	10192	9005	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1710	91.08		True
unknown
616070	620936	18509	23417	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1710	90.06		True
unknown
CONTIG	contig_1710	27983	mis_unaligned
449062	449326	201171	200907	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.19		False
2644975	2645172	239718	239520	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.95		False
428329	428580	247077	246825	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.91		False
354394	354469	294611	294536	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	100.0		False
3303421	3303689	341483	341751	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.15		False
3115233	3115375	346696	346835	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	94.41		False
3776740	3776848	346838	346731	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	98.17		False
1600455	1600563	346838	346731	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	97.25		False
1124602	1124691	346917	346828	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	97.78		False
3564809	3564896	346831	346918	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	100.0		False
3743155	3743272	346947	346830	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	94.92		False
59886	60077	727350	727541	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	94.79		False
2580998	2584260	12300	9038	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.16		True
unknown
3302828	3303174	36455	36801	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.49		True
unknown
3307576	3308037	38682	39142	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.26		True
unknown
3325309	3327565	61823	64080	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.29		True
unknown
3331524	3332724	68137	69346	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.41		True
unknown
628765	631018	86006	83750	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.36		True
unknown
581695	584728	134856	131819	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.44		True
unknown
570893	572209	150807	149488	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.2		True
unknown
550799	551333	163108	162572	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.74		True
unknown
547256	549696	166707	164268	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.07		True
unknown
536813	538601	179701	177912	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.45		True
unknown
523474	525312	192757	190890	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.05		True
unknown
302684	304151	212486	213956	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.18		True
unknown
310616	312386	219101	220887	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.79		True
unknown
442913	443769	243817	242959	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.8		True
unknown
417116	417772	247175	246517	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.96		True
unknown
1593690	1595303	351141	352754	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.46		True
unknown
115941	117440	365121	366623	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.69		True
unknown
120228	122687	367546	370020	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.34		True
unknown
171264	172603	413188	414534	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.65		True
unknown
3767130	3770946	444195	448028	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.66		True
unknown
3786935	3788352	456596	458040	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.6		True
unknown
3801709	3801855	471496	471638	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	93.2		True
unknown
3802411	3802595	472195	472378	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.97		True
unknown
11963	13100	505149	506284	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	93.23		True
unknown
14371	14637	508302	508567	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	95.51		True
unknown
26080	26175	519885	519980	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	95.83		True
unknown
26093	26795	520765	521467	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	96.02		True
unknown
26796	27357	521585	522140	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.75		True
unknown
28113	29328	522900	524115	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	95.41		True
unknown
3671830	3673518	558760	560463	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.55		True
unknown
3678614	3679913	565168	566470	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	93.25		True
unknown
183416	185515	590778	592877	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	92.46		True
unknown
198494	199550	609381	610443	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.03		True
unknown
202439	203892	613426	614881	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.08		True
unknown
214610	214914	621883	622187	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.49		True
unknown
216827	217666	625437	626275	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.95		True
unknown
246057	247781	650216	651943	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.46		True
unknown
258622	260477	656724	658583	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.02		True
unknown
337409	338930	714581	716092	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.54		True
unknown
3654203	3655851	759798	758150	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.45		True
unknown
3640532	3642591	773950	771878	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.59		True
unknown
3620513	3621006	794753	794260	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	90.28		True
unknown
3566737	3568633	837419	835518	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.21		True
unknown
3563313	3563728	839719	839304	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1711	91.83		True
unknown
CONTIG	contig_1711	887722	mis_unaligned
521612	522021	17788	17378	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1712	91.97		True
unknown
451783	452498	29700	28985	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1712	90.5		True
unknown
CONTIG	contig_1712	29835	mis_unaligned
523474	525312	11493	9629	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1713	90.6		True
unknown
521136	522272	13880	12747	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1713	90.33		True
unknown
459961	460577	14526	13909	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1713	91.42		True
unknown
CONTIG	contig_1713	17437	mis_unaligned
CONTIG	contig_1714	15180	unaligned
178379	178754	45977	46352	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1715	91.01		True
CONTIG	contig_1715	58053	correct_unaligned
52866	53981	14273	15388	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1716	90.59		True
unknown
55768	57168	17343	18744	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1716	94.37		True
unknown
CONTIG	contig_1716	33161	mis_unaligned
CONTIG	contig_1717	47604	unaligned
CONTIG	contig_1718	45945	unaligned
CONTIG	contig_1719	33431	unaligned
CONTIG	contig_172	15229	unaligned
CONTIG	contig_1720	20402	unaligned
CONTIG	contig_1721	7143	unaligned
CONTIG	contig_1722	80328	unaligned
CONTIG	contig_1723	11129	unaligned
CONTIG	contig_1724	37512	unaligned
CONTIG	contig_1725	1632	unaligned
CONTIG	contig_1726	3354	unaligned
CONTIG	contig_1728	3310	unaligned
CONTIG	contig_173	37617	unaligned
CONTIG	contig_1730	2178	unaligned
CONTIG	contig_1731	19823	unaligned
CONTIG	contig_1732	78826	unaligned
CONTIG	contig_1733	16308	unaligned
CONTIG	contig_1734	111363	unaligned
CONTIG	contig_1735	22493	unaligned
CONTIG	contig_1736	29539	unaligned
CONTIG	contig_1737	36381	unaligned
CONTIG	contig_1738	93723	unaligned
CONTIG	contig_1739	5557	unaligned
CONTIG	contig_174	28325	unaligned
CONTIG	contig_1741	5508	unaligned
CONTIG	contig_1744	49440	unaligned
CONTIG	contig_1745	1795	unaligned
CONTIG	contig_1746	6383	unaligned
CONTIG	contig_1747	22894	unaligned
CONTIG	contig_1748	1299	unaligned
CONTIG	contig_1749	9655	unaligned
CONTIG	contig_175	25114	unaligned
CONTIG	contig_1750	2482	unaligned
CONTIG	contig_1752	8444	unaligned
CONTIG	contig_1753	1997	unaligned
CONTIG	contig_1755	1495	unaligned
CONTIG	contig_1756	20884	unaligned
CONTIG	contig_1757	19605	unaligned
CONTIG	contig_1758	37861	unaligned
CONTIG	contig_1759	653865	unaligned
CONTIG	contig_1761	16868	unaligned
CONTIG	contig_1762	37078	unaligned
CONTIG	contig_1763	61333	unaligned
CONTIG	contig_1764	15977	unaligned
CONTIG	contig_1765	59688	unaligned
CONTIG	contig_1766	104095	unaligned
CONTIG	contig_1767	2849	unaligned
CONTIG	contig_1769	16217	unaligned
CONTIG	contig_177	9462	unaligned
CONTIG	contig_1770	43416	unaligned
CONTIG	contig_1771	5133	unaligned
CONTIG	contig_1772	75675	unaligned
CONTIG	contig_1773	19701	unaligned
CONTIG	contig_1774	53939	unaligned
CONTIG	contig_1775	88794	unaligned
CONTIG	contig_1776	185825	unaligned
CONTIG	contig_1777	14010	unaligned
CONTIG	contig_1778	22443	unaligned
4752334	4765340	1	13025	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1779	97.68		True
relocation, inconsistency = -4803
4765532	4780567	18020	33069	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1779	97.79		True
CONTIG	contig_1779	33072	misassembled
CONTIG	contig_178	28712	unaligned
CONTIG	contig_1780	50861	unaligned
CONTIG	contig_1783	60027	unaligned
CONTIG	contig_1784	37866	unaligned
CONTIG	contig_1785	45769	unaligned
CONTIG	contig_1786	13893	unaligned
20281	24168	3954	39	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1787	96.59		True
CONTIG	contig_1787	23352	correct_unaligned
CONTIG	contig_1788	28426	unaligned
843503	846733	38359	35138	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1789	98.86		True
unknown
843013	843502	56065	55575	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1789	97.96		True
unknown
842157	842903	56811	56066	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1789	97.72		True
unknown
CONTIG	contig_1789	56811	mis_unaligned
CONTIG	contig_179	47380	unaligned
835190	842154	6964	1	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	98.3		True
relocation, inconsistency = 21994
864279	874786	7095	17656	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	97.01		True
relocation, inconsistency = 1875692
2750479	2769272	36502	17657	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	98.28		True
relocation, inconsistency = 193633
2982570	2983027	56167	56624	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	97.09		True
relocation, inconsistency = 94756
3077784	3080363	59198	56625	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	98.22		True
relocation, inconsistency = 2708865
364835	368732	63287	59385	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	98.27		True
relocation, inconsistency = 2312304
2681037	2690483	63288	72748	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	97.71		True
local misassembly
2690484	2691428	73079	74025	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	97.25		True
relocation, inconsistency = 390268
3101684	3103615	95937	94013	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1790	97.41		True
CONTIG	contig_1790	96124	misassembled
CONTIG	contig_1791	15736	unaligned
3103396	3103631	1	235	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1793	95.76		True
CONTIG	contig_1793	36605	correct_unaligned
CONTIG	contig_1794	15112	unaligned
CONTIG	contig_1795	51192	unaligned
CONTIG	contig_1796	186378	unaligned
CONTIG	contig_1797	11064	unaligned
1084180	1084596	7178	7594	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1798	96.41		True
CONTIG	contig_1798	7594	correct_unaligned
1074770	1075740	4405	5374	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1799	97.84		True
relocation, inconsistency = 1454
1077197	1084595	5377	12736	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1799	95.71		True
CONTIG	contig_1799	12736	misassembled
468649	468777	2041	1913	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_18	93.18		True
CONTIG	contig_18	8089	correct_unaligned
2583618	2583903	447939	447654	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_180	92.66		True
unknown
3427323	3427598	455488	455209	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_180	94.29		True
unknown
CONTIG	contig_180	944874	mis_unaligned
2697792	2697927	22603	22738	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1800	93.38		True
CONTIG	contig_1800	243394	correct_unaligned
CONTIG	contig_1801	6507	unaligned
CONTIG	contig_1802	4782	unaligned
CONTIG	contig_1803	4325	unaligned
CONTIG	contig_1804	8248	unaligned
CONTIG	contig_1805	27942	unaligned
CONTIG	contig_1806	32172	unaligned
CONTIG	contig_1807	795860	unaligned
CONTIG	contig_1808	21161	unaligned
CONTIG	contig_181	15259	unaligned
CONTIG	contig_1810	269082	unaligned
CONTIG	contig_1811	15665	unaligned
CONTIG	contig_1812	366953	unaligned
CONTIG	contig_1813	23136	unaligned
CONTIG	contig_1814	11524	unaligned
CONTIG	contig_1815	7725	unaligned
1127	1295	296602	296434	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1816	90.75		True
CONTIG	contig_1816	1163971	correct_unaligned
CONTIG	contig_1818	2484	unaligned
CONTIG	contig_1819	12646	unaligned
CONTIG	contig_182	13271	unaligned
CONTIG	contig_1821	123565	unaligned
CONTIG	contig_1822	18788	unaligned
1071302	1071505	1417106	1417317	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1823	90.57		True
CONTIG	contig_1823	1473602	correct_unaligned
CONTIG	contig_1824	6496	unaligned
CONTIG	contig_1825	18169	unaligned
CONTIG	contig_1827	2474	unaligned
CONTIG	contig_1829	13934	unaligned
CONTIG	contig_183	12716	unaligned
CONTIG	contig_1830	54055	unaligned
CONTIG	contig_1831	52377	unaligned
CONTIG	contig_1832	619052	unaligned
CONTIG	contig_1834	8754	unaligned
CONTIG	contig_1835	10047	unaligned
CONTIG	contig_1836	13560	unaligned
CONTIG	contig_1837	372664	unaligned
CONTIG	contig_1838	18922	unaligned
CONTIG	contig_1839	57291	unaligned
CONTIG	contig_184	282155	unaligned
CONTIG	contig_1840	13287	unaligned
CONTIG	contig_1841	38037	unaligned
CONTIG	contig_1842	35120	unaligned
CONTIG	contig_1843	63737	unaligned
321845	322208	26184	26548	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1844	95.36		True
unknown
323488	323640	27833	27989	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1844	94.27		True
unknown
CONTIG	contig_1844	28108	mis_unaligned
CONTIG	contig_1845	8150	unaligned
CONTIG	contig_1846	26597	unaligned
CONTIG	contig_1847	16122	unaligned
2115173	2115437	29957	30222	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	91.76		False
27676	28977	16855	15553	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.15		True
unknown
1648826	1650681	124452	122596	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.71		True
unknown
1599345	1600705	167132	165774	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.01		True
unknown
1734656	1736896	181155	183401	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	91.1		True
unknown
1996121	1998690	313832	316397	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.69		True
unknown
2000840	2001237	318366	318760	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	98.24		True
unknown
2725164	2725455	335886	336177	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.41		True
unknown
47772	48538	353169	353939	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.27		True
unknown
964219	965012	480110	480903	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1848	90.05		True
unknown
CONTIG	contig_1848	503067	mis_unaligned
CONTIG	contig_1849	30831	unaligned
CONTIG	contig_185	17452	unaligned
CONTIG	contig_1850	7302	unaligned
CONTIG	contig_1851	1998	unaligned
CONTIG	contig_1852	1823	unaligned
CONTIG	contig_1853	2746	unaligned
CONTIG	contig_1855	13166	unaligned
CONTIG	contig_1856	14636	unaligned
CONTIG	contig_1857	4034	unaligned
CONTIG	contig_1858	10899	unaligned
CONTIG	contig_1859	2766	unaligned
CONTIG	contig_186	63473	unaligned
CONTIG	contig_1860	4255	unaligned
CONTIG	contig_1861	1666	unaligned
CONTIG	contig_1862	1127	unaligned
CONTIG	contig_1863	6946	unaligned
CONTIG	contig_1864	38322	unaligned
CONTIG	contig_1866	8307	unaligned
CONTIG	contig_1867	276473	unaligned
CONTIG	contig_1868	23424	unaligned
CONTIG	contig_1869	16992	unaligned
CONTIG	contig_187	17554	unaligned
CONTIG	contig_1870	109589	unaligned
CONTIG	contig_1871	880920	unaligned
CONTIG	contig_1872	25992	unaligned
CONTIG	contig_1873	12248	unaligned
CONTIG	contig_1874	5686	unaligned
CONTIG	contig_1876	4567	unaligned
3431847	3442158	1	10321	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1877	97.73		True
CONTIG	contig_1877	10321	correct
CONTIG	contig_1878	19653	unaligned
CONTIG	contig_1879	13484	unaligned
CONTIG	contig_188	60805	unaligned
CONTIG	contig_1880	19372	unaligned
767875	767980	17547	17651	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1881	95.28		True
CONTIG	contig_1881	48063	correct_unaligned
CONTIG	contig_1882	6893	unaligned
CONTIG	contig_1883	74808	unaligned
CONTIG	contig_1884	18792	unaligned
CONTIG	contig_1885	28825	unaligned
CONTIG	contig_1886	50152	unaligned
663641	663710	11622	11554	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1887	91.43		True
CONTIG	contig_1887	14649	correct_unaligned
2894744	2895984	49300	50540	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1888	90.17		True
unknown
2874984	2875294	319995	319685	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1888	91.0		True
unknown
2873360	2873526	321562	321397	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_1888	92.22		True
unknown
CONTIG	contig_1888	596478	mis_unaligned
CONTIG	contig_1889	13373	unaligned
831673	832062	425643	425254	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_189	90.0		True
unknown
812424	812739	435231	434916	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_189	93.04		True
unknown
CONTIG	contig_189	450367	mis_unaligned
CONTIG	contig_1890	6967	unaligned
CONTIG	contig_1892	43918	unaligned
CONTIG	contig_1893	559930	unaligned
2993217	2993479	964075	964337	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1894	90.87		False
